mergesort,10,0.07867813110351562
mergesort,10,0.04291534423828125
mergesort,10,0.05841255187988281
mergesort,100,0.8318424224853516
mergesort,100,0.7731914520263672
mergesort,100,0.7305145263671875
mergesort,1000,11.589527130126953
mergesort,1000,18.090248107910156
mergesort,1000,14.041662216186523
mergesort,10000,159.67226028442383
mergesort,10000,159.82985496520996
mergesort,10000,159.02376174926758
mergesort,100000,2182.676315307617
mergesort,100000,2468.3597087860107
mergesort,100000,2243.624448776245
mergesort,1000000,27070.018529891968
mergesort,1000000,26734.83443260193
mergesort,1000000,26839.76101875305
mergesort,25,0.1513957977294922
mergesort,25,0.15211105346679688
mergesort,25,0.10538101196289062
mergesort,250,1.8687248229980469
mergesort,250,3.0167102813720703
mergesort,250,2.7484893798828125
mergesort,2500,33.23841094970703
mergesort,2500,37.78386116027832
mergesort,2500,33.310890197753906
mergesort,25000,445.8494186401367
mergesort,25000,443.09306144714355
mergesort,25000,446.14291191101074
mergesort,250000,5794.001817703247
mergesort,250000,5812.105655670166
mergesort,250000,5787.123680114746
mergesort,2500000,73397.1495628357
mergesort,2500000,73721.46272659302
mergesort,2500000,73633.61668586731
mergesort,50,0.43320655822753906
mergesort,50,0.4229545593261719
mergesort,50,0.4107952117919922
mergesort,500,4.044055938720703
mergesort,500,8.326292037963867
mergesort,500,4.569768905639648
mergesort,5000,73.21524620056152
mergesort,5000,73.82345199584961
mergesort,5000,73.41647148132324
mergesort,50000,973.9437103271484
mergesort,50000,968.2302474975586
mergesort,50000,973.0463027954102
mergesort,500000,12574.426412582397
mergesort,500000,12602.038383483887
mergesort,500000,12572.118282318115
mergesort,5000000,157670.08686065674
mergesort,5000000,157111.4263534546
mergesort,5000000,156707.06939697266
mergesort,75,0.5326271057128906
mergesort,75,0.629425048828125
mergesort,75,0.5121231079101562
mergesort,750,7.361650466918945
mergesort,750,8.278608322143555
mergesort,750,10.707855224609375
mergesort,7500,117.16485023498535
mergesort,7500,129.3201446533203
mergesort,7500,117.14601516723633
mergesort,75000,1540.4088497161865
mergesort,75000,1524.1672992706299
mergesort,75000,1540.8918857574463
mergesort,750000,19615.803241729736
mergesort,750000,19589.890480041504
mergesort,750000,19567.665815353394
mergesort,7500000,245637.00246810913
mergesort,7500000,252606.16731643677
mergesort,7500000,264561.8567466736
